Precio,Comuna,Dormitorios,Banos,Area Construida,Area Total,Estacionamientos
409285000,QuintaNormal,7,4.0,384.0,732.0,3.0
105000000,PedroAguirreCerda,2,1.0,112.0,145.0,1.0
128124000,Estacion Central,3,1.0,59.0,243.0,2.0
75000000,Colina,3,1.0,103.0,73.0,1.0
53000000,Colina,2,1.0,57.0,67.0,1.0
75000000,Colina,3,1.0,70.0,80.0,2.0
105000000,LaFlorida,2,1.0,50.0,120.0,1.0
76000000,Maipu,3,1.0,72.0,72.0,1.0
76000000,Maipu,3,1.0,46.0,90.0,1.0
90000000,Maipu,3,1.0,100.0,134.0,3.0
75000000,SanBernardo,3,2.0,50.0,88.0,1.0
153037000,Maipu,3,2.0,98.0,130.0,2.0
132000000,QuintaNormal,4,1.0,69.0,200.0,2.0
373695000,LaFlorida,7,3.0,173.0,850.0,3.0
480000000,LaFlorida,5,6.0,240.0,600.0,2.0
142000000,Santiago,3,2.0,100.0,163.0,2.0
295397000,LaFlorida,3,3.0,105.0,280.0,2.0
391490000,LaFlorida,5,3.0,150.0,400.0,2.0
1210060000,LasCondes,5,5.0,360.0,1150.0,4.0
160155000,Lampa,3,3.0,80.0,156.0,2.0
129903500,Lampa,3,2.0,68.0,221.0,1.0
175000000,Santiago,3,3.0,94.0,191.0,4.0
150000000,QuintaNormal,2,1.0,96.0,247.0,1.0
160000000,SanBernardo,3,2.0,91.0,268.0,2.0
75000000,LaPintana,3,1.0,62.0,88.0,1.0
75000000,LaPintana,3,2.0,90.0,80.0,1.0
160000000,PuenteAlto,5,2.0,165.0,315.0,1.0
302728540,PuenteAlto,2,1.0,83.0,1000.0,4.0
266925000,QuintaNormal,4,3.0,198.0,354.0,1.0
120000000,Santiago,4,1.0,131.0,138.0,2.0
239000000,Santiago,5,4.0,250.0,190.0,1.0
444519100,Huechuraba,5,5.0,156.0,530.0,4.0
125000000,Maipu,3,2.0,80.0,100.0,2.0
65129700,SanBernardo,3,1.0,52.0,75.0,1.0
115000000,Maipu,3,1.0,76.0,120.0,2.0
261586500,SanMiguel,3,3.0,113.0,130.0,1.0
266569100,Nunoa,4,3.0,109.0,119.0,1.0
160000000,LaFlorida,3,1.0,84.0,200.0,2.0
160155000,Lampa,3,2.0,88.0,158.0,3.0
259807000,SanMiguel,5,2.0,200.0,300.0,3.0
115000000,LaGranja,3,2.0,61.0,163.0,2.0
282940500,Pudahuel,3,3.0,145.0,454.0,2.0
140580500,Maipu,4,3.0,160.0,162.0,2.0
121000000,Maipu,3,2.0,100.0,136.0,1.0
139000000,Maipu,5,2.0,127.0,112.0,2.0
91000000,Maipu,3,1.0,55.0,100.0,1.0
140580500,Buin,4,2.0,101.0,168.0,2.0
333834200,Pudahuel,4,3.0,160.0,400.0,2.0
252689000,Peñalolén,4,3.0,112.0,196.0,2.0
85000000,Talagante,2,2.0,80.0,138.0,1.0
85000000,LaFlorida,2,1.0,65.0,85.0,1.0
184356200,Quilicura,3,2.0,90.0,149.0,2.0
238453000,Pudahuel,3,3.0,110.0,190.0,1.0
309633000,Pudahuel,5,3.0,165.0,400.0,2.0
190406500,Maipu,4,4.0,130.0,130.0,1.0
347002500,Pudahuel,4,3.0,140.0,550.0,2.0
291838000,Pudahuel,3,3.0,130.0,300.0,3.0
293617500,Pudahuel,3,3.0,125.0,850.0,2.0
297176500,Pudahuel,4,3.0,120.0,420.0,2.0
